"Fecha","Tipo","Descripcion"
"1984","EfemerideEvento","Un avión de Aeroflot Tupolev Tu-154 se estrella contra vehículos de mantenimiento al aterrizar en Omsk, Rusia, resultando en la pérdida de 178 vidas."
"1986","EfemerideEvento","Guerra Fría: El presidente de EE. UU., Ronald Reagan, y el líder soviético Mikhail Gorbachev se reúnen en Reikiavik, Islandia, en un esfuerzo por continuar las discusiones sobre la reducción de sus arsenales de misiles intermedios en Europa."
"1987","EfemerideEvento","Primera exhibición pública del Mosaico Conmemorativo del SIDA en el Mall Nacional en Washington, D.C., durante la Segunda Marcha Nacional en Washington por los Derechos de Lesbianas y Gays."
"1987","EfemerideEvento","Inicio de la Operación Pawan por parte de la Fuerza de Paz India en Sri Lanka, que resultó en la pérdida de miles de vidas de civiles de etnia tamil y de numerosos miembros de los Tigres Tamil y soldados del Ejército Indio."
"2000","EfemerideEvento","NASA lanza STS-92, la 100ª misión del transbordador espacial, utilizando el transbordador espacial Discovery."
"2001","EfemerideEvento","La Corporación Polaroid solicita protección de bancarrota federal."
"2002","EfemerideEvento","Un ataque con explosivos en un centro comercial en Vantaa, Finlandia, causa la muerte de siete personas."
"2013","EfemerideEvento","Una embarcación de migrantes se hunde en el Canal de Sicilia con al menos 34 personas fallecidas."
"1492","EfemerideNacimientos","Charles Orlando, delfín de Francia, noble francés (fallecido en 1495)"
"1086","EfemerideFallecimientos","Sima Guang, historiador y estadista chino (nacido en 1019)"
