"Fecha","Tipo","Descripcion"
"1989","EfemerideEvento","Guerra Fría: Revolución de terciopelo: Ante las protestas, el Partido Comunista de Checoslovaquia anuncia que renunciará a su monopolio sobre el poder político."
"1990","EfemerideEvento","La primera ministra británica Margaret Thatcher renuncia como líder del Partido Conservador y de la primera ministería, y es sucedida en ambos cargos por John Major."
"1991","EfemerideEvento","Osetia del Sur declara su independencia de Georgia."
"2002","EfemerideEvento","Atacantes hacen estallar un hotel de propiedad israelí en Mombasa, Kenia; sus compañeros no logran derribar el vuelo 582 de Arkia Israel Airlines con misiles tierra-aire."
"2014","EfemerideEvento","Hombres armados hicieron estallar tres explosivos en la mezquita central de la ciudad norteña de Kano, resultando en la pérdida de al menos 120 vidas."
"2016","EfemerideEvento","Un avión chárter Avro RJ85 que transportaba al menos a 81 personas, incluyendo al equipo de fútbol Chapecoense, se estrella cerca de Medellín, Colombia."
"587","EfemerideEvento","Tratado de Andelot: El rey Guntram de Borgoña reconoce a Childeberto II como su heredero."
"936","EfemerideEvento","Shi Jingtang es coronado como el primer emperador de la Dinastía posterior Jin por el emperador Taizong de Liao, tras una revuelta contra el emperador Fei de la Dinastía posterior Tang."
"1118","EfemerideNacimientos","Manuel I Komnenos, emperador bizantino (fallecido en 1180)."
"1122","EfemerideFallecimientos","Margrave Ottokar II de Estiria"
