"Fecha","Tipo","Descripcion"
"1997","EfemerideEvento","En Ottawa, Ontario, Canadá, representantes de 121 países firman el Tratado de Ottawa que prohíbe la fabricación y el uso de minas terrestres antipersonal. Sin embargo, Estados Unidos, la República Popular China y Rusia no firman el tratado."
"1999","EfemerideEvento","NASA pierde contacto radio con el Mars Polar Lander momentos antes de que la nave espacial ingrese a la atmósfera marciana."
"2005","EfemerideEvento","XCOR Aerospace realiza la primera entrega de correo estadounidense en un avión cohete tripulado en el condado de Kern, California."
"2007","EfemerideEvento","Las tormentas invernales provocan inundaciones en el río Chehalis, afectando a muchas ciudades en el condado de Lewis, Washington, y cierran un tramo de 20 millas de la interestatal 5 durante varios días. Se atribuyen al menos ocho fatalidades y miles de millones de dólares en daños a las inundaciones."
"2009","EfemerideEvento","Un ataque explosivo en un hotel en Mogadiscio, Somalia, causa la muerte de 25 personas, incluyendo a tres ministros del Gobierno Federal de Transición."
"2012","EfemerideEvento","Al menos 475 personas pierden la vida tras el impacto del tifón Bopha en Filipinas."
"2014","EfemerideEvento","La agencia espacial japonesa, JAXA, lanza el explorador espacial Hayabusa 2 desde el Centro Espacial Tanegashima en una misión de seis años de ida y vuelta a un asteroide para recolectar muestras de roca."
"915","EfemerideEvento","El Papa Juan X coronó a Berengar I de Italia como Emperador del Sacro Imperio Romano."
"1368","EfemerideNacimientos","Carlos VI de Francia (fallecido en 1422)"
"1038","EfemerideFallecimientos","Emma de Lesum, condesa sajona y santa."
