"Fecha","Tipo","Descripcion"
"2000","EfemerideEvento","Desastre de Kaprun: Ciento cincuenta y cinco esquiadores y snowboarders pierden la vida cuando un teleférico se incendia en un túnel alpino en Kaprun, Austria."
"2001","EfemerideEvento","Los periodistas Pierre Billaud, Johanne Sutton y Volker Handloik pierden la vida en Afganistán durante un ataque al convoy en el que viajaban."
"2004","EfemerideEvento","La Organización para la Liberación de Palestina confirma el fallecimiento de Yasser Arafat por causas no identificadas. Mahmoud Abbas es elegido presidente de la OLP minutos después."
"2004","EfemerideEvento","La Tumba del Guerrero Desconocido de Nueva Zelanda es inaugurada en el Monumento Nacional a la Guerra, en Wellington."
"2006","EfemerideEvento","La reina Isabel II inaugura el Monumento a la Guerra de Nueva Zelanda en Londres, Reino Unido, en conmemoración de la pérdida de soldados del Ejército de Nueva Zelanda y del Ejército Británico."
"2012","EfemerideEvento","Un fuerte sismo de magnitud 6.8 sacude el norte de Birmania, causando la muerte de al menos 26 personas."
"2014","EfemerideEvento","Cincuenta y ocho personas pierden la vida en un accidente de autobús en el distrito de Sukkur, en la provincia de Sindh, al sur de Pakistán."
"308","EfemerideEvento","En Carnuntum, el emperador emérito Diocleciano se reúne con Galerio, Augusto del Este, y Maximiano, el anterior Augusto del Oeste que ha regresado recientemente, en un intento por poner fin a las guerras civiles de la Tetrarquía."
"1050","EfemerideNacimientos","Enrique IV, emperador del Sacro Imperio Romano Germánico (fallecido en 1106) fue una figura central en la política europea de su tiempo. Su reinado estuvo marcado por conflictos significativos, especialmente con la Iglesia, donde luchó por el control de los nombramientos de obispos, lo que culminó en la famosa disputa de Investidura. A pesar de sus esfuerzos por consolidar el poder imperial, enfrentó revueltas internas y desafíos externos. Enrique IV es recordado por su papel en la historia medieval, donde sus acciones y decisiones tuvieron un impacto duradero en la estructura del poder en Europa. Su muerte en 1106 dejó un legado complejo que influenció la política imperial y las relaciones entre la Iglesia y el Estado en los años venideros."
"1028","EfemerideFallecimientos","Constantino VIII, emperador bizantino (nacido en 960)"
