"Fecha","Tipo","Descripcion"
"1980","EfemerideEvento","Irak invade Irán."
"1991","EfemerideEvento","Los Rollos del Mar Muerto son puestos a disposición del público por primera vez por la Biblioteca Huntington."
"1993","EfemerideEvento","Un avión Tu-154 de Transair Georgian Airlines es derribado por un misil en Sukhumi, Georgia."
"1993","EfemerideEvento","Una barcaza choca contra un puente de ferrocarril cerca de Mobile, Alabama, provocando el accidente ferroviario más mortífero en la historia de Amtrak. Cuarenta y siete pasajeros pierden la vida."
"1995","EfemerideEvento","El bombardeo de la escuela de Nagerkovil fue llevado a cabo por la Fuerza Aérea de Sri Lanka, en el que al menos 34 personas fallecieron, la mayoría de ellos estudiantes de etnia tamil."
"1995","EfemerideEvento","Un E-3B AWACS se estrella fuera de la Base Aérea de Elmendorf, Alaska, tras múltiples impactos de aves en dos de los cuatro motores poco después del despegue; las 24 personas a bordo fallecen."
"2013","EfemerideEvento","Al menos 75 personas pierden la vida en un atentado suicida en una iglesia cristiana en Peshawar, Pakistán."
"904","EfemerideEvento","El caudillo Zhu Quanzhong acaba con la vida del emperador Zhaozong, el penúltimo emperador de la dinastía Tang, tras hacerse con el control del gobierno imperial."
"1013","EfemerideNacimientos","Richeza de Polonia, Reina de Hungría (fallecida en 1075)"
"1072","EfemerideFallecimientos","Ouyang Xiu, historiador, poeta y político chino (nacido en 1007)."
