"Fecha","Tipo","Descripcion"
"1896","EfemerideEvento","La Liga de Hockey de Pensilvania Occidental, que más tarde se convirtió en la primera liga de hockey sobre hielo en intercambiar y contratar jugadores de manera abierta, comenzó a jugar en el Casino Schenley Park de Pittsburgh."
"1903","EfemerideEvento","El Partido Laborista Socialdemócrata Ruso se divide en dos grupos: los Bolcheviques (que en ruso significa ""mayoría"") y los Menshevikes (que en ruso significa ""minoría"")."
"1911","EfemerideEvento","La Fraternidad Omega Psi Phi Incorporada, que es la primera organización de letras griegas de la comunidad negra fundada en una universidad o colegio históricamente negro en Estados Unidos, fue establecida en el campus de la Universidad Howard en Washington, D.C."
"1933","EfemerideEvento","Estados Unidos reconoce a la Unión Soviética."
"1939","EfemerideEvento","Nueve estudiantes checos son ejecutados en respuesta a las manifestaciones antinazis provocadas por la muerte de Jan Opletal. Se cierran todas las universidades checas y se envía a más de 1.200 estudiantes a campos de concentración. Desde este evento, el Día Internacional del Estudiante se celebra en muchos países, especialmente en la República Checa."
"474","EfemerideEvento","El emperador León II muere tras un reinado de diez meses. Es sucedido por su padre Zenón, quien se convierte en el único gobernante del Imperio Bizantino."
"794","EfemerideEvento","El emperador japonés Kanmu cambia su residencia de Nara a Kioto."
"887","EfemerideEvento","El emperador Carlos el Calvo es depuesto por los magnates francos en una asamblea en Fráncfort. Su sobrino Arnulfo de Carintia es elegido como rey del Reino Franco Oriental."
"1453","EfemerideNacimientos","Alfonso, Príncipe de Asturias (fallecido en 1468)"
"1104","EfemerideFallecimientos","Nikephoros Melissenos, general bizantino (nacido en 1045)"
