"Fecha","Tipo","Descripcion"
"1979","EfemerideEvento","Moshe Dayan renuncia al gobierno israelí debido a fuertes desacuerdos con el Primer Ministro Menachem Begin sobre la política hacia los árabes."
"1981","EfemerideEvento","Andreas Papandreou se convierte en Primer Ministro de Grecia, poniendo fin a un sistema de poder que duró casi 50 años y que estuvo dominado por fuerzas conservadoras."
"1983","EfemerideEvento","El metro se define en la decimoséptima Conferencia General de Pesas y Medidas como la distancia que la luz recorre en el vacío en 1/299,792,458 de segundo."
"1986","EfemerideEvento","En Líbano, secuestradores afines a Irán afirman haber retenido al escritor estadounidense Edward Tracy (quien fue liberado en agosto de 1991)."
"1987","EfemerideEvento","La masacre del hospital de Jaffna es llevada a cabo por las Fuerzas de Mantenimiento de la Paz de la India en Sri Lanka, matando a 70 pacientes, médicos y enfermeras de etnia tamil."
"1994","EfemerideEvento","Programa de armas nucleares de Corea del Norte: Corea del Norte y Estados Unidos firman un Marco de Acuerdo que requiere que Corea del Norte detenga su programa de armas nucleares y acepte inspecciones."
"1994","EfemerideEvento","En Seúl, 32 personas pierden la vida cuando se desploma el Puente Seongsu."
"2005","EfemerideEvento","Imágenes del planeta enano Eris fueron tomadas y posteriormente utilizadas para documentar su descubrimiento por el equipo de Michael E. Brown, Chad Trujillo y David L. Rabinowitz."
"1328","EfemerideNacimientos","Emperador Hongwu de China (fallecido en 1398)"
"1023","EfemerideFallecimientos","Gero, arzobispo de Magdeburgo."
