"Fecha","Tipo","Descripcion"
"1985","EfemerideEvento","El vuelo 1285 de Arrow Air, un McDonnell Douglas DC-8, se accidenta tras el despegue en Gander, Terranova, causando la muerte de las 256 personas a bordo, incluidos 236 miembros de la 101ª División Aerotransportada del Ejército de los Estados Unidos."
"1988","EfemerideEvento","El accidente ferroviario de Clapham Junction causa treinta y cinco muertes y cientos de heridos tras dos colisiones de tres trenes de pasajeros, siendo uno de los peores accidentes ferroviarios en el Reino Unido."
"1991","EfemerideEvento","La Federación Rusa obtiene independencia de la URSS."
"2000","EfemerideEvento","La Corte Suprema de los Estados Unidos emite su decisión en el caso Bush contra Gore."
"2001","EfemerideEvento","El Primer Ministro de Vietnam, Phan Văn Khải, anuncia la decisión de elevar la reserva natural de Phong Nha-Kẻ Bàng a parque nacional, proporcionando información sobre los proyectos para la conservación y el desarrollo del parque y mapas revisados."
"2012","EfemerideEvento","Corea del Norte lanza con éxito su primer satélite, Kwangmyŏngsŏng-3 Unidad 2, utilizando un cohete portador Unha-3."
"627","EfemerideEvento","Batalla de Nínive: Un ejército bizantino bajo el emperador Heraclio derrota a las fuerzas persas del emperador Khosrau II, comandadas por el general Rhahzadh."
"884","EfemerideEvento","El rey Carlomán II fallece tras un accidente de caza. Lo sucede su primo, el emperador Carlos el Gordo, quien por última vez reúne el Imperio Francés."
"1298","EfemerideNacimientos","Albert II, Duque de Austria (fallecido en 1358)"
"1143","EfemerideFallecimientos","Kogyo-Daishi, restaurador del budismo Shingon en Japón (nacido en 1095)."
