"Fecha","Tipo","Descripcion"
"1999","EfemerideEvento","Lluvias torrenciales provocan inundaciones repentinas en Vargas, Venezuela, resultando en un gran número de pérdidas, la destrucción de miles de viviendas y el colapso total de la infraestructura del estado."
"2003","EfemerideEvento","El presidente paquistaní Pervez Musharraf escapa por poco de un intento de atentado."
"2004","EfemerideEvento","El viaducto de Millau, el puente más alto del mundo, es inaugurado formalmente cerca de Millau, Francia."
"2008","EfemerideEvento","Muntadhar al-Zaidi lanza sus zapatos al entonces presidente de EE.UU. George W. Bush durante una conferencia de prensa en Bagdad, Irak."
"2012","EfemerideEvento","Tiroteo en la escuela primaria Sandy Hook: Veintiocho personas, incluyendo al atacante, pierden la vida en Sandy Hook, Connecticut."
"2013","EfemerideEvento","Un intento de golpe de estado reportado en Sudán del Sur da lugar a combates continuos y cientos de víctimas."
"557","EfemerideEvento","Constantinopla ha sufrido daños severos a causa de un terremoto."
"835","EfemerideEvento","Incidente de la Dulce Rocío: El emperador Wenzong de la dinastía Tang trama un plan para deshacerse de los poderosos eunucos de la corte Tang, pero el complot es frustrado."
"1009","EfemerideNacimientos","Emperador Go-Suzaku de Japón (fallecido en 1045)"
"1077","EfemerideFallecimientos","Agnes de Poitou, Emperatriz del Sacro Romano Imperio y regente (n. c. 1025)"
