"Fecha","Tipo","Descripcion"
"1998","EfemerideEvento","La pena de muerte en el Reino Unido, ya abolida para el homicidio, ha sido completamente eliminada para todos los demás delitos capitales."
"1998","EfemerideEvento","Un juez federal de EE. UU., en el mayor acuerdo civil en la historia de Estados Unidos, ordena a 37 casas de corretaje estadounidenses pagar 1.03 mil millones de dólares a inversores de NASDAQ que fueron engañados como compensación por manipulación de precios."
"2005","EfemerideEvento","Atentados suicidas en tres hoteles en Amán, Jordania, resultan en al menos 60 fallecimientos."
"2005","EfemerideEvento","La misión Venus Express de la Agencia Espacial Europea se lanza desde el cosmódromo de Baikonur en Kazajistán."
"2007","EfemerideEvento","El Bundestag alemán aprueba la controvertida ley de retención de datos que exige el almacenamiento de los datos de tráfico de telecomunicaciones de los ciudadanos durante seis meses sin necesidad de causa probable."
"2012","EfemerideEvento","Al menos 27 personas han fallecido y decenas han resultado heridas en los enfrentamientos entre internos y personal de seguridad en la prisión de Welikada en Colombo."
"2012","EfemerideEvento","Un tren que transportaba combustible líquido se accidenta y se incende en el norte de Myanmar, resultando en la pérdida de 27 vidas y dejando a 80 personas heridas."
"694","EfemerideEvento","En el decimoséptimo Concilio de Toledo, Egica, un rey de los visigodos de Hispania, acusa a los judíos de ayudar a los musulmanes y condena a todos los judíos a la esclavitud."
"1376","EfemerideNacimientos","Edmund Mortimer, noble inglés y rebelde (fallecido en 1409)"
"1034","EfemerideFallecimientos","Oldřich, Duque de Bohemia (nacido alrededor de 975)"
