"Fecha","Tipo","Descripcion"
"2002","EfemerideEvento","Hu Jintao se convierte en Secretario General del Partido Comunista de China y se inaugura un nuevo Comité Permanente del Politburó de nueve miembros."
"2003","EfemerideEvento","El primer día de los atentados en Estambul en 2003, en el que dos vehículos explosivos, dirigidos a dos lugares de culto, estallan, causando 25 fallecidos y alrededor de 300 heridos."
"2006","EfemerideEvento","Al Jazeera English se lanza a nivel mundial."
"2007","EfemerideEvento","El ciclón Sidr impacta Bangladesh, causando la pérdida de aproximadamente 5,000 vidas y destruyendo partes del bosque de manglares más grande del mundo, los Sundarbans."
"2012","EfemerideEvento","Xi Jinping se convierte en Secretario General del Partido Comunista de China y se inaugura un nuevo Comité Permanente del Politburó de siete miembros."
"2016","EfemerideEvento","La Corte Superior de Hong Kong prohíbe a los políticos electos Yau Wai-ching y Baggio Leung participar en el Parlamento de la ciudad."
"565","EfemerideEvento","Justin II sucede a su tío, Justiniano I, como emperador del Imperio Bizantino."
"655","EfemerideEvento","Batalla del Winwaed: Penda de Mercia es derrotado por Oswiu de Northumbria."
"1316","EfemerideNacimientos","Juan I de Francia (fallecido en 1316) fue el rey de Francia durante un breve periodo en 1316. Su reinado, que duró solo cinco días, se produjo en un contexto de inestabilidad dinástica tras la muerte de su padre. Aunque su tiempo en el trono fue efímero, Juan I fue el primer rey de Francia nacido después de la muerte de su abuelo, el rey Felipe IV. Debido a su juventud, la regencia fue asumida por su madre, la reina Juana, hasta que alcanzara la mayoría de edad. Sin embargo, la falta de un reinado duradero significó que su impacto en la historia de Francia fue muy limitado. A la muerte de Juan, su madre continuó actuando como regente por un tiempo, y más tarde uno de sus tíos ocupó el trono. Así, la línea sucesoria de los Capetos continuó su curso en un periodo de tensiones y luchas por el poder entre las distintas facciones de la nobleza."
"1037","EfemerideFallecimientos","Odo II, conde de Blois (nacido en 983)"
