"Fecha","Tipo","Descripcion"
"2000","EfemerideEvento","Las grandes manifestaciones en Belgrado llevan a la renuncia del líder serbio Slobodan Milošević. Estas demostraciones son a menudo denominadas la Revolución del Bulldozer."
"2001","EfemerideEvento","Barry Bonds supera el total de jonrones en una sola temporada de Mark McGwire con sus jonrones 71 y 72."
"2011","EfemerideEvento","En la masacre del río Mekong, dos barcos de carga chinos son secuestrados y 13 miembros de la tripulación son asesinados en la región del Triángulo de Oro en el sudeste asiático."
"456","EfemerideEvento","Los visigodos bajo el rey Teodorico II, actuando por órdenes del emperador romano Avito, invaden la península ibérica con un ejército de burgundios, francos y godos, liderados por los reyes Chilperico I y Gondioco. Derrotan a los suevos bajo el rey Rechiar en el río Urbicus cerca de Astorga (Gallaecia)."
"539 BC","EfemerideEvento","El ejército de Ciro el Grande de Persia toma Babilonia (calendario gregoriano)"
"610","EfemerideEvento","Coronación del emperador bizantino Heraclio."
"816","EfemerideEvento","El rey Luis el Piadoso es coronado emperador del Sacro Imperio Romano por el papa Esteban IV en Reims."
"869","EfemerideEvento","El Cuarto Concilio de Constantinopla se convoca para decidir qué hacer con respecto al patriarca Fotio de Constantinopla."
"1274","EfemerideNacimientos","Al-Dhahabi, erudito e historiador sirio (fallecido en 1348)"
"1056","EfemerideFallecimientos","Enrique III, emperador del Sacro Imperio Romano Germánico (nacido en 1017)"
