"Fecha","Tipo","Descripcion"
"1981","EfemerideEvento","El vuelo 1308 de Inex-Adria Aviopromet, un McDonnell Douglas MD-80, se estrella en Córcega, ocasionando la pérdida de todas las personas que estaban a bordo."
"1984","EfemerideEvento","La NASA lleva a cabo la Demostración de Impacto Controlado, en la cual un avión comercial es estrellado deliberadamente para probar tecnologías y recopilar datos que ayuden a mejorar la supervivencia en accidentes."
"1989","EfemerideEvento","Intento de golpe de Estado en Filipinas: El movimiento militar rebelde de derecha Reformar las Fuerzas Armadas intenta destituir a la presidenta de Filipinas, Corazon Aquino, en un fallido golpe de Estado."
"1989","EfemerideEvento","Guerra Fría: El parlamento de Alemania Oriental abolió la disposición constitucional que otorgaba al Partido Comunista el papel principal en el estado."
"1990","EfemerideEvento","Las secciones del Túnel del Canal que comienzan en el Reino Unido y Francia se encuentran a 40 metros por debajo del lecho marino."
"1991","EfemerideEvento","Guerra Fría: Los votantes ucranianos aprueban abrumadoramente un referéndum por la independencia de la Unión Soviética."
"1997","EfemerideEvento","En el estado indio de Bihar, Ranvir Sena atacó el bastión del Partido Unidad CPI(ML) en Lakshmanpur-Bathe, causando la muerte de 63 personas de castas inferiores."
"800","EfemerideEvento","Carlomagno juzga las acusaciones contra el Papa León III en el Vaticano."
"1081","EfemerideNacimientos","Luis VI, rey de Francia (fallecido en 1137)"
"1135","EfemerideFallecimientos","Enrique I, rey inglés (nacido en 1068)"
