"Fecha","Tipo","Descripcion"
"2001","EfemerideEvento","La nave espacial Galileo de la NASA pasa a 112 millas de la luna Io de Júpiter."
"2003","EfemerideEvento","China lanza Shenzhou 5, su primera misión espacial con tripulación."
"2005","EfemerideEvento","Un disturbio en Toledo, Ohio estalla durante una protesta de nacionalistas socialistas/neo-nazis; más de 100 personas son detenidas."
"2006","EfemerideEvento","Terremoto en Kiholo Bay: Un terremoto de magnitud 6.7 sacude Hawái, causando daños materiales, heridas, deslizamientos de tierra, cortes de energía y el cierre del Aeropuerto Internacional de Honolulu."
"2007","EfemerideEvento","Diecisiete activistas en Nueva Zelanda son arrestados en las primeras operaciones antiterroristas del país luego del 11 de septiembre."
"2008","EfemerideEvento","El Promedio Industrial Dow Jones cierra con una caída de 733.08 puntos, o 7.87%, siendo el segundo peor día en la historia del Dow basado en la caída porcentual."
"2011","EfemerideEvento","Las protestas globales de 2011 ocurren."
"2013","EfemerideEvento","Un terremoto de magnitud 7.2 azota Filipinas, resultando en más de 215 fallecimientos."
"1218","EfemerideNacimientos","Hulagu Khan, gobernante mongol (fallecido en 1265)"
"1002","EfemerideFallecimientos","Otto-Henry, duque de Borgoña (nacido en 946)"
