"Fecha","Tipo","Descripcion"
"1991","EfemerideEvento","En Croacia, las fuerzas del Ejército Popular Yugoslavo bombardean Dubrovnik después de haber sitiado la ciudad durante siete meses."
"1992","EfemerideEvento","La mezquita Babri en Ayodhya, India, es destruida, lo que provoca disturbios generalizados que resultan en la pérdida de más de 1,500 vidas."
"1997","EfemerideEvento","Un avión de carga ruso Antonov An-124 Ruslan se estrella contra un complejo de apartamentos cerca de Irkutsk, Siberia, con un saldo de 67 fallecidos."
"1998","EfemerideEvento","En Venezuela, Hugo Chávez es victorioso en las elecciones presidenciales."
"2005","EfemerideEvento","Un avión de transporte militar C-130 de la Fuerza Aérea de Irán se accidenta contra un edificio de diez pisos en una zona residencial de Teherán, resultando en la pérdida de todas las personas a bordo y de otras en el lugar."
"2006","EfemerideEvento","NASA revela fotografías tomadas por el Mars Global Surveyor que sugieren la presencia de agua líquida en Marte."
"2015","EfemerideEvento","Las elecciones en Venezuela se celebran. Por primera vez en 17 años, el Partido Socialista Unido de Venezuela pierde su mayoría en el parlamento."
"963","EfemerideEvento","El Papa León VIII es nombrado para el cargo de Protonotario y comienza su papado como antipapa de Roma."
"1285","EfemerideNacimientos","Ferdinand IV de Castilla (fallecido en 1312) fue rey de Castilla desde 1295 hasta su muerte. Su reinado estuvo marcado por conflictos internos y luchas por el poder, lo que generó tensiones entre diferentes facciones nobiliarias. Durante su mandato, también enfrentó desafíos externos, como la presión de los reinos de la península ibérica y las incursiones de fuerzas de diferentes regiones. A pesar de estos obstáculos, Ferdinand IV trabajó para consolidar su autoridad y mantener la estabilidad en su reino. Su muerte dejó un vacío de poder que tuvo repercusiones significativas en la política castellana."
"1185","EfemerideFallecimientos","Afonso I de Portugal (nacido en 1109)"
