"Fecha","Tipo","Descripcion"
"1993","EfemerideEvento","El vuelo 605 de China Airlines, un 747-400 recién adquirido, se salió de la pista en el Aeropuerto Kai Tak."
"1995","EfemerideEvento","El primer ministro israelí Yitzhak Rabin es asesinado por un extremista israelí."
"2002","EfemerideEvento","Las autoridades chinas arrestan al ciberdisidente He Depu por firmar una carta a favor de la democracia dirigida al 16° Congreso del Partido Comunista."
"2008","EfemerideEvento","Barack Obama se convierte en la primera persona de ascendencia birracial o afroamericana en ser elegida Presidente de los Estados Unidos."
"2010","EfemerideEvento","El vuelo 883 de Aero Caribbean se estrella en Guasimal, Sancti Spíritus. Todas las 68 personas a bordo perdieron la vida."
"2010","EfemerideEvento","El vuelo 32 de Qantas, un Airbus A380, sufre una falla en el motor sobre Indonesia poco después de despegar de Singapur, dañando gravemente el avión. La tripulación logra regresar de manera segura a Singapur, salvando a los 469 pasajeros y miembros de la tripulación."
"2015","EfemerideEvento","Un avión de carga se estrella poco después de despegar del Aeropuerto Internacional de Juba en Juba, Sudán del Sur, resultando en la pérdida de 37 vidas."
"2015","EfemerideEvento","Un edificio se derrumba en la ciudad paquistaní de Lahore, resultando en al menos 45 fallecimientos y al menos 100 heridos."
"1448","EfemerideNacimientos","Alfonso II de Nápoles (f allece en 1495) fue el último rey de Nápoles de la dinastía de los Anjou, conocido por su política de fomento a las artes y la cultura en su reino. Su reinado se caracterizó por una serie de conflictos internos y externos, que reflejaron las tensiones políticas de la época. A pesar de los desafíos, Alfonso buscó mantener la estabilidad en Nápoles y promover el desarrollo de la región. Su muerte marcó el fin de una era y condujo a la incorporación de Nápoles a los dominios de otros poderes europeos, alterando el equilibrio en la península itálica."
"1035","EfemerideFallecimientos","Jaromír, duque de Bohemia"
