"Fecha","Tipo","Descripcion"
"1983","EfemerideEvento","Disolución de la Junta Militar en Argentina."
"1995","EfemerideEvento","Guerra Civil de Sri Lanka: El gobierno de Sri Lanka anuncia la toma del bastión tamil de Jaffna."
"2004","EfemerideEvento","La Ley de Uniones Civiles entra en vigor en el Reino Unido y se registra allí la primera unión civil."
"2005","EfemerideEvento","El terremoto de 6.8 Mw en el lago Tanganica sacudió las provincias orientales de la República Democrática del Congo con una intensidad máxima en la escala de Mercalli de X (Extrema), resultando en la pérdida de seis vidas."
"2006","EfemerideEvento","El comodoro Frank Bainimarama derroca al gobierno en Fiji."
"2013","EfemerideEvento","Militantes atacan un complejo del Ministerio de Defensa en Sana'a, Yemen, causando al menos 56 víctimas y 200 heridos."
"63 BC","EfemerideEvento","Cicerón presenta la cuarta y última de las Órdenes Catilinarias."
"633","EfemerideEvento","Se celebra el Cuarto Concilio de Toledo."
"1377","EfemerideNacimientos","Emperador Jianwen de China (fallecido en 1402)"
"1082","EfemerideFallecimientos","Ramón Berenguer II, conde de Barcelona (nacido en 1053)"
