"Fecha","Tipo","Descripcion"
"1993","EfemerideEvento","El presidente ruso Boris Yeltsin suspendió el parlamento y abolió la constitución en vigor, lo que desencadenó la crisis constitucional rusa de 1993."
"1996","EfemerideEvento","La Ley de Defensa del Matrimonio es aprobada por el Congreso de los Estados Unidos (con una votación de 342 a 67 en la Cámara de Representantes y de 85 a 14 en el Senado). La ley prohibió el reconocimiento federal del matrimonio entre personas del mismo sexo, permitiendo a los estados adoptar cualquier definición de matrimonio que eligieran."
"1999","EfemerideEvento","El terremoto de Chi-Chi ocurre en el centro de Taiwán, dejando alrededor de 2,400 personas fallecidas."
"2001","EfemerideEvento","El aumento de tensiones raciales en Peterborough, Inglaterra, tras los ataques del 11 de septiembre, resulta en la muerte de Ross Parker a manos de un grupo de diez musulmanes en un ataque motivado por el racismo."
"2001","EfemerideEvento","América: Un tributo a los héroes se transmite por más de 35 canales de televisión y por cable, recaudando más de 200 millones de dólares para las víctimas de los ataques del 11 de septiembre."
"2003","EfemerideEvento","La sonda Galileo es finalizada al enviarla hacia Júpiter."
"2013","EfemerideEvento","Militantes islámicos atacan el centro comercial Westgate en Nairobi, Kenia, causando la muerte de al menos 67 personas."
"455","EfemerideEvento","El emperador Avitus entra en Roma con un ejército galo y consolida su poder."
"1051","EfemerideNacimientos","Bertha de Saboya (fallecida en 1087) fue una figura histórica notable, conocida por su papel como esposa de un importante noble y por su influencia en las relaciones políticas de su tiempo. Su matrimonio consolidó alianzas clave entre las familias nobles, lo que tuvo repercusiones duraderas en la región. A lo largo de su vida, Bertha desempeñó un papel activo en la administración de sus dominios y en la promoción de su fe, contribuyendo significativamente al desarrollo cultural y político de su época. Su legado perdura como un ejemplo de la influencia que las mujeres podían tener en la política medieval."
"1026","EfemerideFallecimientos","Otto-William, conde de Borgoña"
