"Fecha","Tipo","Descripcion"
"1973","EfemerideEvento","Elecciones generales en Argentina: Juan Perón regresa al poder en Argentina."
"1980","EfemerideEvento","Bob Marley realiza lo que sería su último concierto en Pittsburgh."
"1983","EfemerideEvento","San Cristóbal y Nieves se une a las Naciones Unidas."
"1983","EfemerideEvento","Gulf Air Flight 771 es destruido por una bomba, matando a las 117 personas a bordo."
"1986","EfemerideEvento","Jim Deshaies de los Astros de Houston establece un récord en las grandes ligas al ponchar a los primeros ocho bateadores que enfrenta en un juego contra los Dodgers de Los Ángeles."
"2002","EfemerideEvento","Se lanza la primera versión pública del navegador web Mozilla Firefox, conocida como ""Phoenix 0.1""."
"2004","EfemerideEvento","Más de 3,000 personas fallecen en Haití después de que el huracán Jeanne produce inundaciones masivas y deslizamientos de tierra."
"2008","EfemerideEvento","Tiroteo en la escuela de Kauhajoki: Matti Saari causa la muerte de diez personas antes de quitarse la vida."
"1158","EfemerideNacimientos","Geoffrey II, Duque de Bretaña (fallecido en 1186)"
"1193","EfemerideFallecimientos","Robert de Sablé, caballero francés."
