"Fecha","Tipo","Descripcion"
"1985","EfemerideEvento","El agente de policía Keith Blakelock es fallecido durante los disturbios en el barrio de Broadwater Farm en Londres."
"1987","EfemerideEvento","Fiji se convierte en una república."
"1995","EfemerideEvento","51 Pegasi se descubre como la segunda gran estrella, aparte del Sol, que tiene un planeta orbitando a su alrededor."
"2007","EfemerideEvento","Jason Lewis completa la primera circunnavegación del mundo impulsada por humanos."
"404","EfemerideEvento","La emperatriz bizantina Eudoxia tiene su séptimo y último embarazo, que termina en una pérdida. Ella queda con complicaciones y muere de una infección poco después."
"618- Wang Shichong decisively defeats Li Mi at the Battle of Yanshi, during the transition from Sui to Tang civil war.","EfemerideEvento","La emperatriz bizantina Eudoxia tiene su séptimo y último embarazo, que termina en una pérdida. Ella queda con complicaciones y muere de una infección poco después."
"69 BC","EfemerideEvento","Batalla de Tigranocerta: Las fuerzas de la República Romana, lideradas por Luculo, derrotan al ejército del Reino de Armenia, comandado por el rey Tigranes el Grande."
"AD 23","EfemerideEvento","Los rebeldes matan y decapitan al emperador de la dinastía Xin Wang Mang dos días después de que la capital Chang'an sea despedida durante una rebelión campesina."
"1289","EfemerideNacimientos","Wenceslao III de Bohemia (fallecido en 1306) fue un rey que gobernó en un periodo tumultuoso. Nació en 1289 y ascendió al trono en un momento en que su reino enfrentaba desafíos significativos, incluidos conflictos internos y externos. Su reinado fue breve y estuvo marcado por la inestabilidad política. Wenceslao III fue también rey de Polonia y su llegada al trono polaco representó un intento de unificar y fortalecer ambos reinos. Sin embargo, su gobierno terminó trágicamente cuando fue asesinado, provocando una crisis de sucesión. Su muerte dejó un vacío de poder que alteró el equilibrio en la región, lo que condujo a una serie de eventos que afectaron a Bohemia y sus alrededores durante los años siguientes."
"1014","EfemerideFallecimientos","Samuel de Bulgaria, zar del Primer Imperio Búlgaro (n. 958)"
