"Fecha","Tipo","Descripcion"
"1981","EfemerideEvento","Abolición de la pena de muerte en Francia."
"1983","EfemerideEvento","Atentado con bomba en Rangún: Intento de asesinato del presidente de Corea del Sur, Chun Doo-hwan, durante una visita oficial a Rangún, Birmania. Chun sobrevive, pero la explosión mata a 17 miembros de su séquito, incluidos cuatro ministros del gabinete, y deja heridos a otros 17. En la explosión también mueren cuatro funcionarios birmanos."
"1995","EfemerideEvento","Un tren Sunset Limited de Amtrak es descarrilado por saboteadores cerca de Palo Verde, Arizona."
"2003","EfemerideEvento","Misión: El espacio se abre al público en el parque Epcot de Walt Disney World. La ceremonia de inauguración incluyó a varios astronautas de todas las épocas de la exploración espacial."
"2006","EfemerideEvento","Corea del Norte realiza su primera prueba nuclear."
"2009","EfemerideEvento","Primer impacto lunar de las naves Centaur y LCROSS como parte del Programa Robótico Precursor Lunar de la NASA."
"2012","EfemerideEvento","Miembros de los talibanes paquistaníes hacen un intento fallido de asesinar a una colegiala franca, Malala Yousafzai."
"768","EfemerideEvento","Carlomán I y Carlomagno son coronados reyes de los francos."
"1201","EfemerideNacimientos","Robert de Sorbon, ministro y teólogo francés, fundó el Collège de Sorbonne (fallecido en 1274)."
"1047","EfemerideFallecimientos","Papa Clemente II"
