"Fecha","Tipo","Descripcion"
"1994","EfemerideEvento","Genocidio en Ruanda: Maurice Baril, asesor militar del Secretario General de la ONU y jefe de la División Militar del Departamento de Operaciones de Mantenimiento de la Paz, recomienda que la misión de la ONU en Ruanda se suspenda."
"1995","EfemerideEvento","El ejército israelí se retiró de Nablus de acuerdo con los términos del Acuerdo de Oslo."
"1996","EfemerideEvento","La nueva Constitución de Sudáfrica es promulgada por Nelson Mandela."
"2006","EfemerideEvento","La oposición libanesa organiza una sentada contra el gobierno, la cual es la más grande en la historia del Líbano, en el centro de Beirut, donde las agencias oficiales estimaron el número de manifestantes en más de un millón de personas."
"2007","EfemerideEvento","Anuncio de la formación del Consejo de Lealtad, que fue fundado por el Rey Abdullah bin Abdul Aziz Al Saud el 20 de octubre de 2006, siendo elegido el Príncipe Mishaal bin Abdulaziz Al Saud como su presidente."
"2009","EfemerideEvento","El gobierno libanés encabezado por Saad Hariri obtuvo la confianza del Parlamento libanés por una mayoría de 122 votos, mientras que un diputado se abstuvo de votar y otro diputado no otorgó su confianza al gobierno, y se perdieron cuatro sesiones de confianza."
"2014","EfemerideEvento","El ministro palestino Ziad Abu Ein falleció tras la represión de una manifestación por parte de las fuerzas israelíes en la aldea de Turmus'ayya en Ramallah."
"2016","EfemerideEvento","Dos explosiones afuera de un estadio de fútbol en Estambul, Turquía, causan la muerte de 38 personas e hieren a 166 más."
"1452","EfemerideNacimientos","Johannes Stöffler, matemático y astrónomo alemán (fallecido en 1531)"
"1041","EfemerideFallecimientos","Miguel IV el Paflagonio, emperador bizantino (n. 1010)"
