"Fecha","Tipo","Descripcion"
"1996","EfemerideEvento","Una tormenta de hielo afecta el centro de EE. UU., causando 26 fallecimientos. Una poderosa tormenta de viento impacta Florida, con ráfagas que superan las 90 millas por hora, derribando árboles y volcando remolques."
"1999","EfemerideEvento","Un niño cubano de 5 años, Elian Gonzalez, es rescatado por pescadores mientras flota en un tubo interno cerca de la costa de Florida."
"2000","EfemerideEvento","El terremoto de Bakú en el año 2000, con una magnitud en la escala de Richter de 7.0, provoca 26 fallecimientos en Bakú, Azerbaiyán, y se convierte en el terremoto más fuerte en la región en 158 años."
"2008","EfemerideEvento","El ciclón Nisha golpea el norte de Sri Lanka, causando la pérdida de 15 vidas y desplazando a 90,000 personas, mientras que la región experimenta la mayor cantidad de precipitaciones en nueve décadas."
"2009","EfemerideEvento","Inundaciones en Jeddah: Lluvias inusuales inundan la ciudad de Jeddah, Arabia Saudita, durante una peregrinación en curso. Tres mil vehículos son arrastrados y 122 personas pierden la vida en los torrentes, con 350 más desaparecidas."
"2015","EfemerideEvento","El Papa Francisco realiza su primera visita oficial a África."
"571 BC","EfemerideEvento","Servio Tulio, rey de Roma, celebra un triunfo por su victoria sobre los etruscos."
"885","EfemerideEvento","Sitio de París: Fuerzas vikingas navegan por el río Sena con una flota de 300 drakkars y sitian París."
"1075","EfemerideNacimientos","Emperador Taizong de Jin (fallecido en 1135)"
"1034","EfemerideFallecimientos","Malcolm II de Escocia (nacido en 954) fue un rey escocés que reinó desde el año 1005 hasta su muerte en 1034. Es reconocido por haber consolidado el poder en Escocia y por su papel en la lucha contra los invasores vikingos. Su reinado fue un periodo de importantes cambios políticos y territoriales en el país, y es considerado un precursor de la unificación de Escocia bajo un solo gobernante. Malcolm II fue abuelo de Macbeth, una figura histórica que se convirtió en un personaje literario famoso a través de la obra de Shakespeare. Su legado se siente en la historia escocesa a lo largo de los siglos."
