"Fecha","Tipo","Descripcion"
"1997","EfemerideEvento","Guelb El-Kebir Massacre en Argelia, donde mueren 53 personas."
"2006","EfemerideEvento","El ejército tailandés lleva a cabo un golpe de Estado en Bangkok. Se revoca la Constitución y se declara el estado de excepción."
"2010","EfemerideEvento","El pozo de petróleo que tenía fugas en el derrame de petróleo de Deepwater Horizon está sellado."
"2011","EfemerideEvento","Mariano Rivera de los New York Yankees supera a Trevor Hoffman para convertirse en el líder histórico de salvamentos en las Grandes Ligas de Béisbol con 602."
"2016","EfemerideEvento","A raíz de una búsqueda intensiva, el implicado en una serie de explosiones en Nueva York y Nueva Jersey es detenido tras un enfrentamiento con las autoridades."
"2017","EfemerideEvento","En el 32º aniversario del sismo de 1985 en la Ciudad de México, un fuerte movimiento telúrico golpeó al país, causando numerosas pérdidas de vidas y cientos de personas heridas, así como daños significativos."
"335","EfemerideEvento","Flavio Dalmacio es elevado al rango de César por su tío, el emperador Constantino I."
"634","EfemerideEvento","Sitio de Damasco: Los árabes rashidun bajo el mando de Jalid ibn al-Walid toman Damasco del Imperio Bizantino."
"1328","EfemerideNacimientos","Joana de Kent (fallecida en 1385) fue una noble inglesa, conocida por ser la madre de Ricardo II de Inglaterra. Su vida estuvo marcada por múltiples matrimonios y alianzas políticas, así como por su influencia en la corte. Nació en una familia noble y se convirtió en una figura clave en la historia de Inglaterra durante su época, contribuyendo a la política y la dinastía real. Su legado perdura a través de su descendencia y su papel en los eventos que moldearon el siglo XIV en Inglaterra."
"1123","EfemerideFallecimientos","Emperador Taizu de Jin (nacido en 1068)"
