"Fecha","Tipo","Descripcion"
"2012","EfemerideEvento","Un accidente aéreo en México provoca la muerte de siete personas."
"2013","EfemerideEvento","Al menos siete personas han fallecido y 63 han resultado heridas tras un accidente de tren cerca de Bintaro, Indonesia."
"2015","EfemerideEvento","El inicio de la trigésima sexta cumbre del GCC en los negocios de Riad."
"2016","EfemerideEvento","Al menos 57 personas pierden la vida y otras 177 resultan heridas cuando dos chicas atacan un área de mercado en Madagali, al noreste de Nigeria, en un suceso que se conoce como los atentados en Madagali."
"2016","EfemerideEvento","La presidenta Park Geun-hye de Corea del Sur es destituida por la Asamblea Nacional del país en respuesta a un importante escándalo político. El primer ministro Hwang Kyo-ahn se convierte en presidente en funciones, negándose posteriormente a postularse para un mandato completo."
"480","EfemerideEvento","Odoacer, primer rey de Italia, ocupa Dalmacia. Posteriormente, establece su poder político con la cooperación del Senado romano."
"536","EfemerideEvento","Guerra Gótica: El general bizantino Belisario entra en Roma sin oposición; la guarnición gótica huye de la capital."
"730","EfemerideEvento","Batalla de Marj Ardabil: Los jazares aniquilan a un ejército omeya y eliminan a su comandante, Al-Jarrah Ibn Abdallah Al-Hakami."
"1392","EfemerideNacimientos","Pedro, duque de Coimbra (fallecido en 1449)"
"1048","EfemerideFallecimientos","Al-Biruni, matemático persa (nacido en 973)"
