"Fecha","Tipo","Descripcion"
"1991","EfemerideEvento","La líder de la oposición birmana Aung San Suu Kyi recibe el Premio Nobel de la Paz."
"1994","EfemerideEvento","El líder palestino, Yasser Arafat, el Primer Ministro de Israel, Yitzhak Rabin, y el Ministro de Relaciones Exteriores de Israel, Shimon Peres, reciben el Premio Nobel de la Paz por su papel en el establecimiento de los Acuerdos de Oslo y la formulación del futuro autogobierno palestino."
"1998","EfemerideEvento","Eric Rudolph está acusado de seis explosiones, incluyendo la ocurrida en el Parque Olímpico Centenario en Atlanta, Georgia, en 1996."
"2012","EfemerideEvento","Felix Baumgartner saltó exitosamente a la Tierra desde un globo de helio en la estratosfera como parte del proyecto Red Bull Stratos."
"2014","EfemerideEvento","Una tormenta de nieve y una avalancha en los Himalayas nepaleses, provocadas por los restos del ciclón Hudhud, causaron la pérdida de 43 vidas."
"2014","EfemerideEvento","La Universidad Estatal de Utah recibió una amenaza de bomba contra la crítica de medios feministas Anita Sarkeesian, quien iba a dar una conferencia al día siguiente."
"2015","EfemerideEvento","Un ataque con explosivos en Pakistán deja al menos siete personas fallecidas y 13 heridas."
"2017","EfemerideEvento","Una fuerte explosión de un camión en Somalia causa 358 fallecimientos y más de 400 heridos."
"1257","EfemerideNacimientos","Przemysł II de Polonia (fallecido en 1296) fue un monarca importante en la historia del país. Su reinado se caracterizó por intentos de unificación y fortalecimiento del reino, así como por desafíos políticos y conflictos con potencias vecinas. A pesar de su corto tiempo en el trono, Przemysł II fue una figura clave en la lucha por consolidar el poder de Polonia y restaurar la dignidad de la monarquía. Su muerte prematura dejó un vacío de poder que complicó la situación política en la región."
"1066","EfemerideFallecimientos","Harold Godwinson, rey inglés (n. 1022)"
