"Fecha","Tipo","Descripcion"
"1988","EfemerideEvento","Una explosión ocurre en el vuelo 103 de Pan Am sobre Lockerbie, Dumfries y Galloway, Escocia, lo que resulta en la pérdida de 270 vidas."
"1988","EfemerideEvento","El primer vuelo del Antonov An-225 Mriya, el avión más grande del mundo."
"1992","EfemerideEvento","Un DC-10 holandés, vuelo Martinair MP 495, se accidenta en el Aeropuerto de Faro, resultando en la pérdida de 56 vidas."
"1995","EfemerideEvento","La ciudad de Belén pasa del control israelí al control palestino."
"1999","EfemerideEvento","La Guardia Civil española intercepta una furgoneta cargada con 950 kg de explosivos que un grupo armado planeaba utilizar para atacar Torre Picasso en Madrid, España."
"2004","EfemerideEvento","Guerra de Irak: Un atacante se inmoló y provocó la muerte de 22 personas en la base operativa avanzada adyacente al principal aeródromo militar estadounidense en Mosul, Irak, siendo este el ataque más letal contra soldados estadounidenses."
"2012","EfemerideEvento","Fenómeno de 2012: este día fue considerado como la fecha final de un ciclo de 5,126 años en el calendario de Cuenta Larga mesoamericana, lo que generó amplias expectativas sobre eventos catastróficos que no ocurrieron."
"AD 69","EfemerideEvento","El Senado romano declara a Vespasiano emperador de Roma, el último en el Año de los Cuatro Emperadores."
"1401","EfemerideNacimientos","Masaccio, pintor italiano (fallecido en 1428)"
"1001","EfemerideFallecimientos","Hugh de Toscana, margrave de Toscana (n. 950)"
