"Fecha","Tipo","Descripcion"
"2005","EfemerideEvento","Ellen Johnson Sirleaf es elegida presidenta de Liberia y se convierte en la primera mujer en liderar un país africano."
"2006","EfemerideEvento","Una serie de atentados causa la muerte de al menos 215 personas y deja a 257 heridas en la Ciudad Sadr, convirtiéndose en el segundo ataque sectario más mortífero desde el inicio de la guerra en Irak en 2003."
"2007","EfemerideEvento","MS Explorer, un barco de crucero que transportaba a 154 personas, se hunde en el océano Antártico al sur de Argentina tras chocar con un iceberg cerca de las Islas Shetland del Sur. No hay pérdidas de vidas."
"2009","EfemerideEvento","La masacre de Maguindanao ocurre en Ampatuan, Maguindanao, Filipinas."
"2010","EfemerideEvento","Bombardeo de Yeonpyeong: ataque de artillería norcoreano causa la muerte de dos civiles y dos marinos en la isla de Yeonpyeong, Corea del Sur."
"2011","EfemerideEvento","Primavera Árabe: Después de 11 meses de manifestaciones en Yemen, el presidente yemení Ali Abdullah Saleh firma un acuerdo para transferir el poder al vicepresidente, a cambio de inmunidad legal."
"2015","EfemerideEvento","El vehículo espacial New Shepard de Blue Origin se convirtió en el primer cohete en volar exitosamente al espacio y luego regresar a la Tierra para un aterrizaje controlado y vertical."
"534 BC","EfemerideEvento","Thespis de Icaria se convierte en el primer actor registrado en interpretar un personaje en el escenario."
"1190","EfemerideNacimientos","Papa Clemente IV (fallecido en 1268)"
"1161","EfemerideFallecimientos","Claro, estaré encantado de ayudarte. Por favor, proporciona el texto que deseas traducir al español."
