"Fecha","Tipo","Descripcion"
"1995","EfemerideEvento","Una explosión de un camión bomba ocurre fuera de un centro de entrenamiento de la Guardia Nacional Saudita operado por Estados Unidos en Riad, causando la muerte de cinco estadounidenses y dos indios. Un grupo llamado Movimiento Islámico por el Cambio se atribuye la responsabilidad."
"2000","EfemerideEvento","El presidente de la Cámara de Representantes de Filipinas, Manny Villar, aprueba los artículos de impeachment contra el presidente filipino Joseph Estrada."
"2001","EfemerideEvento","Guerra contra el Terror: En el primer acto de este tipo desde la Segunda Guerra Mundial, el presidente de los Estados Unidos, George W. Bush, firma una orden ejecutiva que permite tribunales militares contra extranjeros sospechosos de tener conexiones con actos o intentos de actos en contra de los Estados Unidos."
"2002","EfemerideEvento","Crisis de desarme en Irak: Irak acepta los términos de la Resolución 1441 del Consejo de Seguridad de la ONU."
"2011","EfemerideEvento","Mario Monti aceptó convertirse en el 54º Primer Ministro de Italia tras la destitución de Silvio Berlusconi, quien no pudo abordar la crisis de deuda en el país."
"2012","EfemerideEvento","Un eclipse solar total ocurrió en partes de Australia y el Pacífico Sur."
"2015","EfemerideEvento","Un conjunto de ataques terroristas coordinados en París, que incluyen múltiples incidentes de disparos, explosiones y una crisis de rehenes en los distritos 10 y 11, resulta en la muerte de 130 personas, siete agresores, y deja 368 heridos, con al menos 80 en estado crítico."
"2015","EfemerideEvento","WT1190F, un satélite temporal de la Tierra, impacta justo al sureste de Sri Lanka."
"1312","EfemerideNacimientos","Edward III de Inglaterra (fallecido en 1377) fue uno de los monarcas más destacados de la historia inglesa. Ascendió al trono en 1327 y su reinado se caracterizó por una serie de conflictos bélicos, incluyendo la Guerra de los Cien Años contra Francia. Su política exterior fue agresiva y buscó reafirmar los derechos de la corona sobre los territorios franceses.

Su reinado también estuvo marcado por la promoción de la cultura y la economía, lo que llevó a un notable desarrollo en diversas áreas. Bajo su gobierno, se instituyeron importantes reformas en el sistema parlamentario, fortaleciendo el papel de la monarquía en la política inglesa.

Edward III es recordado por su figura emblemática y por la influencia que tuvo en la feudocracia de la época. Su legado se extiende a través de sus descendientes y las numerosas batallas que definieron la historia de Inglaterra en el periodo medieval. Su muerte en 1377 marcó el fin de un importante capítulo en la historia del país."
"1002","EfemerideFallecimientos","Pallig, caudillo danés, Jarl de Devonshire."
