"Fecha","Tipo","Descripcion"
"2015","EfemerideEvento","Lluvias intensas provocan un deslizamiento de tierra en la aldea de El Cambray Dos, en Santa Catarina Pinula, con un saldo de 280 personas fallecidas."
"2015","EfemerideEvento","Tiroteo en el Umpqua Community College: Un atacante quita la vida a nueve personas en un colegio comunitario en Roseburg, Oregón."
"2017","EfemerideEvento","Cincuenta y ocho personas pierden la vida y 546 más resultan heridas en un tiroteo masivo durante un festival de música country en el Strip de Las Vegas; el autor, Stephen Paddock, posteriormente se quita la vida."
"2017","EfemerideEvento","Un referéndum de independencia, declarado ilegal por el Tribunal Constitucional de España, se lleva a cabo en Cataluña, España."
"331 BC","EfemerideEvento","Alejandro Magno derrota a Darío III de Persia en la Batalla de Gaugamela."
"366","EfemerideEvento","El Papa Damaso I es elegido."
"959","EfemerideEvento","Edgar el Pacífico se convierte en rey de toda Inglaterra."
"965","EfemerideEvento","El Papa Juan XIII es elegido."
"1207","EfemerideNacimientos","Henry III de Inglaterra (fallecido en 1272) fue un monarca que gobernó desde 1216 hasta su muerte. Su reinado estuvo marcado por conflictos internos y tensiones con los nobles, resultando en diversos levantamientos. A pesar de las dificultades, Henry buscó consolidar su poder y establecer un sistema administrativo más efectivo. También es conocido por su apoyo a la construcción de obras importantes, como la renovación de la Abadía de Westminster. Aunque enfrentó desafíos significativos, su legado dejó una huella duradera en la historia inglesa."
"1040","EfemerideFallecimientos","Alan III, duque de Bretaña (nacido en 997)"
