"Fecha","Tipo","Descripcion"
"2000","EfemerideEvento","La Administración de Control de Drogas de EE. UU. descubre uno de los laboratorios de LSD más grandes del país dentro de un silo de misiles militares convertido en Wamego, Kansas."
"2000","EfemerideEvento","Elección presidencial estadounidense polémica que se resuelve posteriormente en el caso de la Corte Suprema Bush contra Gore, eligiendo a George W. Bush como el 43º presidente de los Estados Unidos."
"2004","EfemerideEvento","Guerra de Irak: El gobierno interino de Irak declara un estado de emergencia de 60 días mientras las fuerzas estadounidenses asedian el bastión insurgente de Fallujah."
"2007","EfemerideEvento","Tiroteo en la escuela Jokela en Tuusula, Finlandia, que resultó en el fallecimiento de nueve personas."
"2012","EfemerideEvento","Un sismo frente a la costa del Pacífico de Guatemala causa la pérdida de al menos 52 vidas."
"335","EfemerideEvento","Atanasio es desterrado a Tréveris, bajo la acusación de que impidió que una flota de grano zarpase hacia Constantinopla."
"680","EfemerideEvento","El Sexto Concilio Ecuménico comienza en Constantinopla."
"921","EfemerideEvento","Tratado de Bonn: Los reyes francos Carlos el Simple y Enrique el Pajarero firman un tratado de paz o 'pacto de amistad' (amicitia), para reconocer sus fronteras a lo largo del Rin."
"1186","EfemerideNacimientos","Ögedei Khan, gobernante mongol, segundo Gran Khan del Imperio Mongol (fallecido en 1241)."
"1173","EfemerideFallecimientos","Uijong de Goryeo, monarca coreano de la dinastía Goryeo (n. 1127)"
