"Fecha","Tipo","Descripcion"
"1996","EfemerideEvento","El barco cisterna Julie N. derrama miles de galones de petróleo tras chocar contra el Puente Million Dollar en Portland, Maine."
"1998","EfemerideEvento","El motor de búsqueda de Google reclama de manera retroactiva esta fecha como su cumpleaños."
"2001","EfemerideEvento","Masacre de Zug: En Zug, Suiza, Friedrich Leibacher dispara a 18 personas, provocando 14 fallecimientos y luego se quita la vida."
"2003","EfemerideEvento","El satélite SMART-1 es lanzado."
"2007","EfemerideEvento","NASA lanza la sonda Dawn."
"2008","EfemerideEvento","El astronauta de la CNSA, Zhai Zhigang, se convierte en la primera persona china en realizar una caminata espacial mientras vuela en Shenzhou 7."
"2012","EfemerideEvento","Un tiroteo masivo ocurre en Accent Signage Systems, en Minneapolis, Minnesota, resultando en seis fallecidos, incluido el atacante que se quitó la vida, y dos personas heridas."
"2014","EfemerideEvento","Erupción del monte Ontake en Japón."
"1271","EfemerideNacimientos","Wenceslao II de Bohemia (fallecido en 1305) fue un rey significativo que gobernó durante una época de cambios en Europa Central. Sus políticas y alianzas fueron cruciales para fortalecer el poder checo, así como para la expansión de su influencia en la región. Wenceslao II también trabajó en el desarrollo económico y la administración de sus territorios, consolidando a Bohemia como un reino próspero y en crecimiento. A lo largo de su reinado, enfrentó desafíos tanto internos como externos que moldearon su legado. Su muerte en 1305 marcó el fin de una era y dejó un impacto duradero en la historia de Bohemia."
"1111","EfemerideFallecimientos","Vekenega, abadesa benedictina croata."
