"Fecha","Tipo","Descripcion"
"2000","EfemerideEvento","El tercer reactor de la Central Nuclear de Chernobyl está apagado."
"2001","EfemerideEvento","La Torre Inclinada de Pisa reabre después de 11 años y 27,000,000 de dólares gastados para estabilizarla, sin corregir su famosa inclinación."
"2005","EfemerideEvento","Introducción del Lockheed Martin F-22 Raptor en el servicio activo de la Fuerza Aérea de los Estados Unidos."
"2010","EfemerideEvento","Una embarcación con 90 solicitantes de asilo choca contra rocas frente a la costa de la Isla de Navidad, Australia, lo que resulta en la pérdida de 48 vidas."
"2013","EfemerideEvento","La Guerra Civil de Sudán del Sur comienza cuando los líderes de la oposición, Dr. Riek Machar, Pagan Amum y Rebecca Nyandeng, votan a favor de boicotear la reunión del Consejo Nacional de Liberación en Nyakuron."
"2014","EfemerideEvento","Man Haron Monis toma 18 rehenes dentro de un café en Martin Place durante 16 horas en Sydney. Monis y dos rehenes mueren cuando la policía allana el café a la mañana siguiente."
"533","EfemerideEvento","Guerra Vándala: El general bizantino Belisario derrota a los vándalos, comandados por el rey Gelimero, en la batalla de Tricamarum."
"687","EfemerideEvento","El Papa Sergio I es elegido."
"1242","EfemerideNacimientos","Príncipe Munetaka, shogun japonés (fallecido en 1274)"
"1025","EfemerideFallecimientos","Basilio II, emperador bizantino (n. 958)"
