"Fecha","Tipo","Descripcion"
"1999","EfemerideEvento","El accidente nuclear de Tokaimura provoca el fallecimiento de dos técnicos en el segundo peor accidente nuclear de Japón."
"2004","EfemerideEvento","El AIM-54 Phoenix, el misil principal del F-14 Tomcat, es retirado del servicio. Casi dos años después, el Tomcat es retirado."
"2005","EfemerideEvento","Las controvertidas caricaturas de Muhammad fueron publicadas en el periódico danés Jyllands-Posten."
"2009","EfemerideEvento","El terremoto de 7.6 Mw en Sumatra sacudió el centro de Sumatra con una intensidad máxima de VIII en la escala de Mercalli (Severa). Este terremoto de deslizamiento dejó un saldo de 1,115 personas afectadas y fue seguido varios días después por un evento de deslizamiento lateral de 6.6 Mw."
"2016","EfemerideEvento","El huracán Matthew se convirtió en un huracán de categoría 5, siendo el huracán más poderoso que se formó en el mar Caribe desde el huracán Félix en 2007."
"2017","EfemerideEvento","Tito Zeman SDB. - sacerdote, ceremonia de beatificación en Bratislava, Eslovaquia."
"489","EfemerideEvento","Batalla de Verona: Los ostrogodos, bajo el rey Teodorico el Grande, vencen a las fuerzas de Odoacro por segunda vez en Verona (Italia del Norte)."
"737","EfemerideEvento","Batalla del Equipaje: Los Turgesh rechazan una invasión omeya de Khuttal, los siguen al sur del Oxus y capturan su tren de suministros."
"1207","EfemerideNacimientos","Rumi, místico y poeta persa (fallecido en 1273)"
"1101","EfemerideFallecimientos","Anselmo IV, arzobispo italiano."
