"Fecha","Tipo","Descripcion"
"2002","EfemerideEvento","En Nigeria, más de 100 personas pierden la vida en un ataque dirigido a los participantes del concurso de Miss Mundo."
"2003","EfemerideEvento","Incidente de intento de derribo de DHL en Bagdad: Poco después del despegue, un avión de carga de DHL Express es impactado en el ala izquierda por un misil de superficie a aire y se ve obligado a aterrizar."
"2004","EfemerideEvento","La Revolución Naranja comienza en Ucrania, resultado de las elecciones presidenciales."
"2005","EfemerideEvento","Angela Merkel se convierte en la primera Canciller mujer de Alemania."
"2012","EfemerideEvento","Comienza un alto el fuego entre Hamas en la Franja de Gaza e Israel tras ocho días de conflicto y 150 fallecimientos."
"2015","EfemerideEvento","Un deslizamiento de tierra en Hpakant, en el Estado de Kachin, al norte de Myanmar, dejó al menos 116 personas fallecidas cerca de una mina de jade, y alrededor de 100 más se encuentran desaparecidas."
"498","EfemerideEvento","Después de la muerte de Anastasio II, Simacato es elegido Papa en el Palacio Laterano, mientras que Laurentio es elegido Papa en Santa María la Mayor."
"845","EfemerideEvento","El primer rey de toda Bretaña, Nominoe, derrota al rey franco Carlos el Calvo en la Batalla de Ballon cerca de Redon."
"1329","EfemerideNacimientos","Elisabeth de Meissen, Burgravina de Nuremberg (fallecida en 1375)."
"1249","EfemerideFallecimientos","As-Salih Ayyub, gobernante de Egipto."
