"Fecha","Tipo","Descripcion"
"1977","EfemerideEvento","Aproximadamente 4,200 personas participan en la primera edición del Maratón de Chicago."
"1978","EfemerideEvento","El vuelo PSA 182, un Boeing 727, colisiona en el aire con un Cessna 172 y se estrella en San Diego, con un saldo de 144 personas fallecidas."
"1981","EfemerideEvento","Belice se une a las Naciones Unidas."
"1983","EfemerideEvento","Escape de la prisión de Maze: Treinta y ocho prisioneros del IRA, armados con seis armas de fuego, secuestran un camión de comidas de la prisión y rompen las barreras para salir de la prisión de Maze."
"1992","EfemerideEvento","La NASA lanza el Mars Observer, una sonda de 511 millones de dólares hacia Marte, en la primera misión de EE. UU. al planeta en 17 años. Once meses después, la sonda falla."
"2003","EfemerideEvento","El terremoto de 8.3 Mw en Hokkaidō sucede justo frente a la costa de Hokkaidō, Japón."
"275","EfemerideEvento","En Roma (después del asesinato de Aureliano), el Senado proclama a Marco Claudio Tácito emperador."
"762","EfemerideEvento","Dirigida por Muhammad al-Nafs al-Zakiyya, la rama hasaní de los Alíes inicia la revuelta alí contra el califato abasí."
"1358","EfemerideNacimientos","Ashikaga Yoshimitsu, shogun japonés (fallecido en 1408)."
"1066","EfemerideFallecimientos","Harald Hardrada, rey noruego (nacido en 1015)"
