"Fecha","Tipo","Descripcion"
"1997","EfemerideEvento","Después de un referéndum a nivel nacional, Escocia vota para establecer un parlamento descentralizado dentro del Reino Unido."
"2001","EfemerideEvento","Dos aviones secuestrados chocaron contra el World Trade Center en la ciudad de Nueva York, mientras que un tercero se estrella contra el Pentágono en el condado de Arlington, Virginia, y un cuarto en un campo cerca de Shanksville, Pensilvania, en una serie de ataques suicidas coordinados de 19 miembros de Al-Qaeda. Un total de 2.996 personas son asesinadas."
"2007","EfemerideEvento","Rusia prueba el arma convencional más grande de la historia, el Padre de Todas las Bombas."
"2008","EfemerideEvento","Un importante incendio en el Túnel de la Mancha se desata en un tren de carga, lo que resulta en el cierre de parte del túnel durante seis meses."
"2011","EfemerideEvento","El Memorial y Museo Nacional del 11 de Septiembre está abierto en el décimo aniversario del ataque del 11 de septiembre."
"2012","EfemerideEvento","Un total de 315 personas fallecen en dos incendios en fábricas de ropa en Pakistán."
"2012","EfemerideEvento","La embajada de EE. UU. en Bengasi, Libia, es asaltada, resultando en cuatro pérdidas de vida."
"2015","EfemerideEvento","Una grúa se desploma sobre la mezquita de Masjid al-Haram en Arabia Saudita, causando la muerte de 111 personas y dejando 394 heridas."
"1182","EfemerideNacimientos","Minamoto no Yoriie, shogun japonés (fallecido en 1204)"
"1063","EfemerideFallecimientos","Béla I de Hungría (nacido en 1016)"
