"Fecha","Tipo","Descripcion"
"1995","EfemerideEvento","La OTAN comienza la misión de mantenimiento de la paz en Bosnia."
"1999","EfemerideEvento","Macau es entregada a China por Portugal."
"2004","EfemerideEvento","Una banda de ladrones roba monedas por un valor de 26.5 millones de libras en la sede del Northern Bank en Donegall Square West en Belfast, Irlanda del Norte, Reino Unido, uno de los robos bancarios más grandes en la historia británica."
"2007","EfemerideEvento","El Retrato de Suzanne Bloch (1904), del artista español Pablo Picasso, y O Lavrador de Café del pintor modernista brasileño Cândido Portinari, son robados del Museo de Arte de São Paulo."
"2007","EfemerideEvento","Isabel II se convierte en la monarca más longeva del Reino Unido, superando a la reina Victoria, quien vivió 81 años, 7 meses y 29 días."
"2013","EfemerideEvento","China lanza con éxito el Túpac Katari 1 de Bolivia desde el Centro de Lanzamiento de Satélites de Xichang."
"217","EfemerideEvento","Callisto I es elegido como el decimosexto papa, aunque Hipólito de Roma es pronto elegido como un papa rival."
"AD 69","EfemerideEvento","Vespasiano, anteriormente un general bajo Nerón, entra en Roma para reclamar el título de Emperador."
"1494","EfemerideNacimientos","Oronce Finé, matemático y cartógrafo francés (fallecido en 1555)."
"1295","EfemerideFallecimientos","Margaret de Provenza (nacida en 1221)"
