"Fecha","Tipo","Descripcion"
"2006","EfemerideEvento","Felipe Calderón, el Presidente de México, inicia una ofensiva liderada por el ejército para controlar la situación del crimen organizado en el estado de Michoacán. Este esfuerzo suele ser considerado como el primer evento en la Guerra contra el Narcotráfico en México."
"2006","EfemerideEvento","La Conferencia Internacional para Revisar la Visión Global del Holocausto se inauguró en Teherán, Irán, por el entonces presidente Mahmoud Ahmadinejad; naciones como Israel y los Estados Unidos expresan preocupación."
"2007","EfemerideEvento","Insurgencia en el Magreb: Dos vehículos explosivos estallan en Argel, Argelia, uno cerca del Tribunal Constitucional Supremo y el otro cerca de las oficinas de las Naciones Unidas."
"2008","EfemerideEvento","Bernard Madoff es arrestado y acusado de fraude de valores en un esquema Ponzi de 50 mil millones de dólares."
"2012","EfemerideEvento","Al menos 125 personas pierden la vida y hasta 200 resultan heridas en explosiones en la aldea alauita de Aqrab, Siria."
"361","EfemerideEvento","Juliano entra en Constantinopla como único emperador del Imperio Romano."
"861","EfemerideEvento","Asesinato del califa abasí al-Mutawakkil por la guardia turca, quienes elevan a al-Muntasir al trono. Comienzo de la ""Anarquía en Samarra""."
"969","EfemerideEvento","El emperador bizantino Nikephoros II Phokas es asesinado por su esposa Teófano y su amante, el futuro emperador Juan I Tzimiskes."
"1445","EfemerideNacimientos","Eberhard I, duque de Württemberg (fallecido en 1496) fue un noble alemán que jugó un papel importante en la historia de la región. Durante su gobierno, promovió el desarrollo del ducado y fortaleció su posición en el contexto político de la época. Su reinado se caracterizó por esfuerzos en la consolidación del territorio y la administración centralizada, así como por la promoción de la agricultura y las finanzas de su ducado. Además, Eberhard I fue conocido por su interés en la cultura y la educación, contribuyendo a la fundación de instituciones educativas en su dominio. Su legado perduró en los siglos posteriores, influyendo en la configuración del ducado de Württemberg."
"1121","EfemerideFallecimientos","Al-Afdal Shahanshah, asesor político egipcio (nacido en 1066)"
