"Fecha","Tipo","Descripcion"
"1994","EfemerideEvento","El barco Achille Lauro se incendia frente a la costa de Somalia."
"1995","EfemerideEvento","Fin oficial de la Operación Tormenta del Desierto."
"1995","EfemerideEvento","El presidente de EE. UU., Bill Clinton, visita Irlanda del Norte y habla en favor del proceso de paz en la región durante un gran mitin en el Ayuntamiento de Belfast; se refiere a los grupos extremistas como personas del pasado."
"1998","EfemerideEvento","Exxon y Mobil firman un acuerdo de 73.7 mil millones de dólares para fusionarse, creando así ExxonMobil, la compañía más grande del mundo."
"1999","EfemerideEvento","En Seattle, Estados Unidos, las manifestaciones en contra de una reunión de la Organización Mundial del Comercio por parte de protestantes antiglobalización sorprendieron a la policía y llevaron a la cancelación de las ceremonias de apertura."
"1999","EfemerideEvento","British Aerospace y Marconi Electronic Systems se fusionan para formar BAE Systems, el mayor contratista de defensa de Europa y la cuarta empresa aeroespacial más grande del mundo."
"2005","EfemerideEvento","John Sentamu se convierte en el primer arzobispo negro en la Iglesia de Inglaterra con su entronización como el 97.º arzobispo de York."
"2012","EfemerideEvento","Un avión de carga Ilyushin Il-76 perteneciente a Aéro-Service se estrella contra casas cerca del Aeropuerto Maya-Maya durante una tormenta, resultando en la pérdida de al menos 32 vidas."
"1310","EfemerideNacimientos","Frederick II, Margrave de Meissen (fallecido en 1349)"
"1016","EfemerideFallecimientos","Edmund Ironside, rey inglés (nacido en 993)."
