"Fecha","Tipo","Descripcion"
"2004","EfemerideEvento","El Club de París acuerda condonar el 80% (hasta $100 mil millones) de la deuda externa de Irak."
"2006","EfemerideEvento","El político libanés contrario a Siria y ministro del gobierno Pierre Gemayel es asesinado en un suburbio de Beirut."
"2009","EfemerideEvento","Una explosión en una mina en Heilongjiang, China, deja un saldo de 108 fallecidos."
"2012","EfemerideEvento","Al menos 28 personas resultaron heridas tras la explosión de un artefacto en un autobús en Tel Aviv."
"2013","EfemerideEvento","Las primeras protestas masivas comienzan en Ucrania después de que el presidente Viktor Yanukovych suspendiera la firma del Acuerdo de Asociación Ucrania-Unión Europea."
"2014","EfemerideEvento","Una avalancha en Kwekwe, Zimbabue, provocada por la policía al lanzar gas lacrimógeno, causa al menos once fallecimientos y deja a otros 40 heridos."
"2015","EfemerideEvento","El gobierno de Bélgica impuso un confinamiento de seguridad en Bruselas, lo que incluyó el cierre de tiendas, escuelas y el transporte público, debido a posibles amenazas."
"235","EfemerideEvento","El Papa Antero sucede a Pontiano como el décimo noveno papa. Durante las persecuciones del emperador Maximino el Tracio, es considerado mártir."
"1495","EfemerideNacimientos","John Bale, obispo e historiador inglés (fallecido en 1563)"
"1011","EfemerideFallecimientos","Reizei, emperador de Japón (nacido en 950)"
