"Fecha","Tipo","Descripcion"
"1988","EfemerideEvento","El presidente de la OLP, Yasser Arafat, pronuncia un discurso en una reunión de la Asamblea General de la ONU en Ginebra, Suiza, después de que las autoridades de Estados Unidos se negaran a otorgarle una visa para visitar la sede de la ONU en Nueva York."
"1989","EfemerideEvento","Los Problemas: Ataque al control de Derryard: El Ejército Republicano Irlandés Provisional lanza un ataque contra un control temporal de vehículos del Ejército Británico cerca de Rosslea, Irlanda del Norte. Dos soldados británicos fallecen y otros dos resultan heridos."
"2001","EfemerideEvento","El edificio que alberga el Parlamento de India, conocido como Sansad Bhavan, es objeto de un ataque. En el incidente, mueren doce personas, entre ellas los atacantes."
"2002","EfemerideEvento","Ampliación de la Unión Europea: La UE anuncia que Chipre, la República Checa, Estonia, Hungría, Letonia, Lituania, Malta, Polonia, Eslovaquia y Eslovenia se convertirán en miembros a partir del 1 de mayo de 2004."
"2003","EfemerideEvento","Guerra de Irak: Operación Amanecer Rojo: El ex presidente iraquí Saddam Hussein es capturado cerca de su ciudad natal de Tikrit."
"2011","EfemerideEvento","Un incidente trágico en Liège, Bélgica, resulta en la muerte de seis personas y deja a 125 heridas en un mercadillo navideño."
"2013","EfemerideEvento","Tiroteo en la Escuela Secundaria Arapahoe: Suicidio: Una estudiante que busca al bibliotecario es asesinada en un pasillo por otro estudiante después de que el bibliotecario lo hubiera relegado en el equipo de debate. El atacante se quita la vida poco después."
"902","EfemerideEvento","Batalla de Holme: Las fuerzas anglosajonas son derrotadas por vikingos daneses bajo el mando de Æthelwold (un hijo de Æthelred de Wessex), quien fallece durante el enfrentamiento."
"1272","EfemerideNacimientos","Rey Federico III de Sicilia (fallecido en 1337)"
"1124","EfemerideFallecimientos","Papa Calixto II (nacido en 1065)"
