"Fecha","Tipo","Descripcion"
"2001","EfemerideEvento","En la ciudad de Nueva York, el vuelo 587 de American Airlines, un Airbus A300 con destino a la República Dominicana, se estrella minutos después de despegar del Aeropuerto Internacional John F. Kennedy, causando la pérdida de todas las vidas a bordo y cinco en tierra."
"2003","EfemerideEvento","Shanghai Transrapid establece un nuevo récord mundial de velocidad (501 kilómetros por hora) para sistemas ferroviarios comerciales, que sigue siendo el más rápido para vehículos ferroviarios comerciales no modificados."
"2003","EfemerideEvento","Guerra de Irak: En Nasiriyah, Irak, al menos 23 personas, entre ellas los primeros ciudadanos italianos afectados en la invasión de Irak en 2003, pierden la vida en un atentado con explosivos en una base policial italiana."
"2011","EfemerideEvento","Una explosión en la base de misiles Shahid Modarres de Irán provoca la muerte de 17 miembros de la Guardia Revolucionaria, incluido Hassan Tehrani Moghaddam, una figura clave en el programa de misiles de Irán."
"2011","EfemerideEvento","Silvio Berlusconi presenta su renuncia como Primer Ministro de Italia, con efecto a partir del 16 de noviembre, debido en gran parte a la crisis de deuda soberana en Europa."
"2014","EfemerideEvento","El módulo de aterrizaje Philae, desplegado desde la sonda Rosetta de la Agencia Espacial Europea, alcanza la superficie del cometa 67P/Churyumov-Gerasimenko."
"2015","EfemerideEvento","Dos atacantes suicidas hicieron estallar explosivos en Bourj el-Barajneh, Beirut, causando 43 víctimas fatales y dejando más de 200 heridos."
"954","EfemerideEvento","El joven Lothair III, de 13 años, es coronado en la Abadía de Saint-Remi como rey del Reino Franco Occidental."
"1450","EfemerideNacimientos","Jacques de Saboya, Conde de Romont, Príncipe de Saboya (fallecido en 1486)"
"1035","EfemerideFallecimientos","Cnut el Grande, rey danés-inglés (n. 985)"
