"Fecha","Tipo","Descripcion"
"1977","EfemerideEvento","Digital Equipment Corporation lanza OpenVMS V1.0."
"1980","EfemerideEvento","Las deliberaciones sobre la Convención de La Haya sobre los Aspectos Civiles de la Sustracción Internacional de Menores concluyen en La Haya."
"1983","EfemerideEvento","Operación Furia Urgente: Estados Unidos y sus aliados caribeños invaden Granada, seis días después de que el Primer Ministro Maurice Bishop y varios de sus seguidores son despojados de la vida en un golpe de estado."
"1995","EfemerideEvento","Un tren de cercanías choca contra un autobús escolar en Fox River Grove, Illinois, resultando en la pérdida de siete estudiantes."
"1997","EfemerideEvento","Después de una breve guerra civil que ha llevado al presidente Pascal Lissouba a abandonar Brazzaville, Denis Sassou Nguesso se proclama presidente de la República del Congo."
"2009","EfemerideEvento","Los atentados en Bagdad de octubre de 2009 causan 155 muertes y al menos 721 heridos."
"285 (or 286)","EfemerideEvento","Ejecución de los santos Crispín y Crispiniano durante el reinado de Diocleciano, ahora los santos patronos de los trabajadores de cuero, curtidores y zapateros."
"473","EfemerideEvento","El emperador León I aclama a su nieto León II como césar del Imperio Bizantino."
"1102","EfemerideNacimientos","Guillermo Clito, hijo francés de Sibila de Conversano (fallecido en 1128)"
"1047","EfemerideFallecimientos","Magnus el Bueno, rey noruego (n. 1024)"
