"Fecha","Tipo","Descripcion"
"2003","EfemerideEvento","Mahathir bin Mohamad renuncia como Primer Ministro de Malasia y es sustituido por el Viceprimer Ministro Abdullah Ahmad Badawi, marcando el final de los 22 años de Mahathir en el poder."
"2011","EfemerideEvento","La población mundial de personas alcanza los siete mil millones. Este día es ahora reconocido por las Naciones Unidas como el Día de Siete Mil Millones."
"2014","EfemerideEvento","Durante un vuelo de prueba, el VSS Enterprise, un vehículo experimental de vuelos espaciales de Virgin Galactic, sufre una ruptura catastrófica durante el vuelo y se estrella en el desierto de Mojave, California."
"2015","EfemerideEvento","El vuelo Metrojet 9268 fue atacado sobre la península del Sinaí del norte, lo que resultó en la pérdida de todas las vidas a bordo."
"2017","EfemerideEvento","Un camión avanza entre una multitud de personas en el Bajo Manhattan, causando la pérdida de al menos 8 vidas."
"475","EfemerideEvento","Romulus Augustulus es proclamado emperador del Imperio Romano de Occidente."
"683","EfemerideEvento","Durante el asedio de La Meca, la Kaaba se incendia y se quema."
"802","EfemerideEvento","La emperatriz Irene es depuesta y desterrada a Lesbos. Los conspiradores colocan a Nicéforo, el ministro de finanzas, en el trono bizantino."
"1291","EfemerideNacimientos","Philippe de Vitry, compositor, poeta y teórico francés (fallecido en 1361)."
"1147","EfemerideFallecimientos","Robert, primer conde de Gloucester, hijo de Enrique I de Inglaterra (nacido en 1100)"
