"Fecha","Tipo","Descripcion"
"2005","EfemerideEvento","Jigme Singye Wangchuck abdica del trono como Rey de Bután."
"2009","EfemerideEvento","El MV Danny F II se hunde frente a la costa de Líbano, lo que resulta en la muerte de 44 personas y la pérdida de más de 28,000 animales."
"2010","EfemerideEvento","Mohamed Bouazizi se inmola. Este acto se convirtió en el catalizador de la Revolución tunecina y de la Primavera Árabe en general."
"2014","EfemerideEvento","Los Estados Unidos y Cuba reestablecen relaciones diplomáticas tras haberlas roto en 1960."
"497 BC","EfemerideEvento","El primer festival de Saturnalia se celebró en la antigua Roma."
"546","EfemerideEvento","Sitio de Roma: Los ostrogodos bajo el rey Totila saquean la ciudad, sobornando a la guarnición bizantina."
"920","EfemerideEvento","Romanos I Lekapenos es coronado co-emperador del menor Constantino VII."
"942","EfemerideEvento","Asesinato de Guillermo I de Normandía."
"1239","EfemerideNacimientos","Kujō Yoritsugu, shogun japonés (fallecido en 1256)"
"1187","EfemerideFallecimientos","El Papa Gregorio VIII (nacido en 1100) fue un pontífice que ocupó el cargo en un periodo de gran relevancia para la Iglesia y la política europea. Su papado se desarrolló en un contexto caracterizado por las cruzadas y la lucha por la supremacía entre diferentes potencias. Su enfoque hacia los conflictos de la época y su papel en la promoción de las cruzadas marcaron su legado. Aunque su tiempo en el papado fue breve, su influencia perduró en las decisiones que tomaron los líderes de la Iglesia y los reyes de Europa en el siglo XII."
