"Fecha","Tipo","Descripcion"
"2005","EfemerideEvento","Atentados en Delhi, India, causan más de 60 fallecimientos."
"2008","EfemerideEvento","Delta Air Lines se fusiona con Northwest Airlines, creando la aerolínea más grande del mundo y reduciendo el número de aerolíneas tradicionales en EE. UU. a cinco."
"2012","EfemerideEvento","El huracán Sandy impacta la costa este de Estados Unidos, dejando un saldo de 148 fallecimientos directos y 138 indirectos, mientras que se estima que los daños ascienden a casi 70 mil millones de dólares y provoca importantes cortes de energía."
"2015","EfemerideEvento","China anuncia el fin de la política de un solo hijo después de 35 años."
"312","EfemerideEvento","Constantino el Grande entra en Roma tras su victoria en la Batalla del Puente Milvio, organiza un gran adventus en la ciudad y es recibido con júbilo popular. El cuerpo de Maxencio es sacado del Tíber y se le quita la cabeza."
"437","EfemerideEvento","Valentiniano III, emperador romano de Occidente, se casa con Licinia Eudoxia, hija de su primo Teodosio II, emperador romano de Oriente, en Constantinopla, unificando así las dos ramas de la Casa de Teodosio."
"539 BC","EfemerideEvento","Ciro el Grande (fundador del Imperio Persa) entró en la capital de Babilonia y permitió que los judíos regresaran a su tierra."
"969","EfemerideEvento","Las tropas bizantinas ocupan Antioquía, Siria."
"1463","EfemerideNacimientos","Alessandro Achillini, médico y filósofo italiano (fallecido en 1512)"
"1050","EfemerideFallecimientos","Eadsige, arzobispo de Canterbury."
