"Fecha","Tipo","Descripcion"
"1996","EfemerideEvento","Representantes de 71 naciones firman el Tratado Integral de Prohibición de Ensayos Nucleares en las Naciones Unidas."
"2005","EfemerideEvento","El huracán Rita toca tierra en Estados Unidos, devastando partes del suroeste de Luisiana y el extremo sureste de Texas."
"2007","EfemerideEvento","Entre 30,000 y 100,000 personas participan en protestas contra el gobierno en Yangón, Birmania, las más grandes en 20 años."
"2009","EfemerideEvento","La cumbre del G20 comienza en Pittsburgh con la asistencia de 30 líderes globales. Marca el primer uso de dispositivos acústicos de largo alcance en la historia de Estados Unidos."
"2013","EfemerideEvento","Un terremoto de magnitud 7.7 afecta el sur de Pakistán, con un saldo de más de 327 personas fallecidas."
"2014","EfemerideEvento","La Misión Orbital de Marte (MOM), un orbitador de Marte lanzado a la órbita terrestre por la Organización de Investigación Espacial de India (ISRO), se insertó con éxito en la órbita de Marte."
"2015","EfemerideEvento","Al menos 1,100 personas fallecen y otras 934 resultan heridas tras un tumulto durante la peregrinación en Arabia Saudita."
"787","EfemerideEvento","Segundo Concilio de Nicéia: El concilio se reunió en la iglesia de Santa Sofía."
"1301","EfemerideNacimientos","Ralph de Stafford, primer conde de Stafford, soldado inglés (fallecido en 1372)."
"1054","EfemerideFallecimientos","Hermann de Reichenau, compositor, matemático y astrónomo alemán (n. 1013)."
