"Fecha","Tipo","Descripcion"
"1986","EfemerideEvento","El terremoto de 5.7 Mw en San Salvador sacudió la ciudad de San Salvador, El Salvador, con una intensidad máxima de IX en la escala de Mercalli. Se registraron hasta 1,500 fallecidos."
"1997","EfemerideEvento","Un avión DC-9-32 de Austral Airlines se estrella y explota cerca de Nuevo Berlín, Uruguay, con un saldo de 74 fallecidos."
"1998","EfemerideEvento","Un Boeing 727 de Lignes Aériennes Congolaises es derribado por rebeldes en Kindu, República Democrática del Congo, causando la muerte de 41 personas."
"2009","EfemerideEvento","Armenia y Turquía firman protocolos en Zúrich, Suiza, para abrir sus fronteras."
"2010","EfemerideEvento","Las Antillas Neerlandesas son disueltas como país."
"2015","EfemerideEvento","Explosiones gemelas en la capital turca, Ankara, cerca de la estación de tren principal, dejan al menos 102 personas fallecidas y más de 400 heridas."
"680","EfemerideEvento","Batalla de Karbala: Husayn ibn Ali, nieto del profeta islámico Mahoma, es decapitado por las fuerzas del califa Yazid I. Los musulmanes lo conmemoran como Aashurah."
"732","EfemerideEvento","Batalla de Tours: Una fuerza comandada por Carlos Martel derrota a un ejército del Califato Omeya entre Poitiers y Tours en el oeste de Francia."
"1332","EfemerideNacimientos","Rey Carlos II de Navarra (fallecido en 1387)"
"1213","EfemerideFallecimientos","Frederick II, Duque de Lorena."
