"Fecha","Tipo","Descripcion"
"1974","EfemerideEvento","Donald Johanson y Tom Gray descubren el esqueleto de Australopithecus afarensis, completado en un 40%, apodado ""Lucy"" (en honor a la canción de The Beatles ""Lucy in the Sky with Diamonds""), en el Valle del Awash de la Depresión del Afar en Etiopía."
"1976","EfemerideEvento","El terremoto de Çaldıran-Muradiye en el este de Turquía deja entre 4,000 y 5,000 fallecidos."
"2012","EfemerideEvento","Un incendio en una fábrica de ropa en Dhaka, Bangladesh, deja al menos 112 personas fallecidas."
"2013","EfemerideEvento","Irán firma un acuerdo provisional con los países P5+1, limitando su programa nuclear a cambio de la reducción de sanciones."
"2015","EfemerideEvento","Un caza Sukhoi Su-24 de la Fuerza Aérea Rusa es derribado por la Fuerza Aérea Turca sobre la frontera entre Siria y Turquía, falleciendo uno de los dos pilotos; un marine ruso también pierde la vida durante un posterior esfuerzo de rescate."
"2015","EfemerideEvento","Una explosión en un autobús que transportaba a personal de la Guardia Presidencial tunecina en la capital de Túnez, Túnez, deja al menos 14 personas fallecidas."
"2015","EfemerideEvento","Un ataque en un hotel de Al-Arish, Egipto, deja al menos siete personas fallecidas y 12 heridas."
"380","EfemerideEvento","Teodosio I realiza su entrada formal en Constantinopla."
"1273","EfemerideNacimientos","Alfonso, Conde de Chester (fallecido en 1284)"
"1072","EfemerideFallecimientos","Bagrat IV de Georgia (nacido en 1018) fue un rey destacado que gobernó durante un periodo crucial en la historia del país. Su reinado marcó un esfuerzo por unificar las diversas regiones y fortalecer el estado frente a las amenazas externas. A lo largo de su gobierno, Bagrat IV enfrentó desafíos significativos, incluyendo conflictos con potencias vecinas y la necesidad de consolidar el poder interno. Su liderazgo fue fundamental para el desarrollo cultural y político de Georgia en esa época."
