"Fecha","Tipo","Descripcion"
"1995","EfemerideEvento","En Nigeria, el dramaturgo y activista ambiental Ken Saro-Wiwa, junto con ocho personas más del Movimiento por la Supervivencia del Pueblo Ogoni (Mosop), son ejecutados por fuerzas del gobierno."
"1997","EfemerideEvento","WorldCom y MCI Communications anuncian una fusión de 37 mil millones de dólares (la fusión más grande en la historia de EE. UU. en ese momento)."
"2002","EfemerideEvento","Fin de semana de tornados del Día de los Veteranos: Un brote de tornados que se extiende desde el norte de Ohio hasta la costa del Golfo, uno de los brotes más grandes registrados en noviembre. El tornado más fuerte, un F4, impacta Van Wert, Ohio, durante la tarde y destruye un cine que había sido evacuado."
"2006","EfemerideEvento","El Museo Nacional del Cuerpo de Marines en Quantico, Virginia, es inaugurado y dedicado por el presidente de Estados Unidos, George W. Bush, quien anuncia que el cabo de Marines Jason Dunham recibirá póstumamente la Medalla de Honor."
"2006","EfemerideEvento","El político tamil de Sri Lanka, Nadarajah Raviraj, es asesinado en Colombo."
"2008","EfemerideEvento","Más de cinco meses después de aterrizar en Marte, la NASA declara concluida la misión Phoenix tras perder las comunicaciones con el módulo de aterrizaje."
"2009","EfemerideEvento","Buques de las marinas de Corea del Sur y Corea del Norte se enfrentan en una escaramuza frente a la isla Daecheong en el mar Amarillo."
"937","EfemerideEvento","Diez Reinos: Li Bian usurpa el trono y destituye al emperador Yang Pu. El Estado Wu es reemplazado por Li (ahora llamado ""Xu Zhigao""), quien se convierte en el primer gobernante de Tang del Sur."
"1278","EfemerideNacimientos","Felipe I, Príncipe de Tarento (fallecido en 1332)"
"1066","EfemerideFallecimientos","Juan Escoto, obispo de Mecklemburgo"
